artist,track_name,ms_played
Topic & A7S,Breaking Me,226053
Drake & Future & Young Thug,Way 2 Sexy,16297
Zach Bryan & Kacey Musgraves,I Remember Everything,248440
Harry Styles,Adore You,148737
Doja Cat & The Weeknd,You Right,66182
Dua Lipa,Don't Start Now,11471
Bobby Helms,Jingle Bell Rock,69194
Topic & A7S,Breaking Me,266861
Ariana Grande,Santa Tell Me,248580
Post Malone,Circles,182720
Drake & 21 Savage & Project Pat,Knife Talk,231454
Lost Frequencies & Calum Scott,Where Are You Now,148744
Doja Cat,Paint The Town Red,28539
Drake,Toosie Slide,145125
Eslabon Armado & Peso Pluma,Ella Baila Sola,292608
Ariana Grande,Santa Tell Me,171773
Doja Cat,Woman,280970
Oliver Tree & Robin Schulz,Miss You,76634
Chris Brown & Young Thug,Go Crazy,122361
Olivia Rodrigo,Good 4 U,68874
Doja Cat & Nicki Minaj,Say So,75270
Lady Gaga & Ariana Grande,Rain On Me,145139
Ariana Grande,Positions,296998
Apache 207,Roller,81379
AJR,Bang!,5464
Trevor Daniel,Falling,287383
The Killers,Mr Brightside,145083
Luke Combs,Forever After All,53882
Lil Mosey,Blueberry Faygo,158184
Joji,Glimpse Of Us,296190
Morgan Wallen,Wasted On You,48591
Taylor Swift,Anti-Hero,96187
SAINt JHN,Roses (Imanbek Remix),218080
Libianca,People,217966
Olivia Rodrigo,Deja Vu,113244
Stephen Sanchez,Until I Found You,96425
Jawsh 685 & Jason Derulo,Savage Love (Laxed - Siren Beat),141462
Ed Sheeran,Bad Habits,92081
Acraze & Cherish,Do It To It,14745
Drake & Future & Young Thug,Way 2 Sexy,180033
Rosa Linn,Snap,288078
Post Malone,Chemical,110002
Fifty Fifty,Cupid,112198
24kGoldn & Iann Dior,Mood,134796
Coldplay & BTS,My Universe,4875
Shouse,Love Tonight,123076
Burl Ives,A Holly Jolly Christmas,151461
Morgan Wallen,You Proof,252475
Billie Eilish,everything i wanted,59254
Camila Cabello & Ed Sheeran,Bam Bam,13560
Drake & 21 Savage,Jimmy Cooks,27224
SZA,Kill Bill,90176
SZA,Snooze,286772
Cardi B & Megan Thee Stallion,WAP,106518
Apache 207,Roller,184756
Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz,We Don't Talk About Bruno,105752
Coi Leray,Players,218563
Morgan Wallen,Sand In My Boots,217105
Em Beihold,Numb Little Bug,254558
Olivia Rodrigo,Good 4 U,53234
Harry Styles,As It Was,275122
Olivia Rodrigo,Vampire,98803
DJ Ti.sto,The Business,220014
Drake & 21 Savage,Rich Flex,6222
Cardi B & Megan Thee Stallion,WAP,193154
Adele,Easy On Me,48570
Doja Cat & Nicki Minaj,Say So,15521
Drake & 21 Savage,Jimmy Cooks,204251
Maren Morris,The Bones,19759
Taylor Swift,Anti-Hero,280860
Mariah Carey,All I Want For Christmas Is You,23450
Drake & Lil Durk,Laugh Now Cry Later,198062
Ava Max,Kings & Queens,43464
Wham!,Last Christmas,179841
Morgan Wallen,Sand In My Boots,279637
Olivia Rodrigo,Deja Vu,97910
Drake & 21 Savage,Jimmy Cooks,33358
Adele,Easy On Me,261161
Luke Combs,Fast Car,190083
Brenda Lee,Rockin' Around The Christmas Tree,20039
Coldplay & BTS,My Universe,16700
Justin Bieber & Quavo,Intentions,64377
Drake & 21 Savage,Jimmy Cooks,163804
Apache 207,Roller,139901
Mariah Carey,All I Want For Christmas Is You,49411
Billie Eilish,What Was I Made For?,210308
Jose Feliciano,Feliz Navidad,185341
Post Malone,Chemical,201842
Joji,Glimpse Of Us,173700
Jack Harlow,First Class,185099
Giveon,Heartbreak Anniversary,253530
Shouse,Love Tonight,158810
Bad Bunny & Jhay Cortez,Dakiti,124872
Ed Sheeran,Bad Habits,129735
Kate Bush,Running Up That Hill (A Deal With God),217335
Polo G,Rapstar,182004
Jawsh 685 & Jason Derulo,Savage Love (Laxed - Siren Beat),280665
Jose Feliciano,Feliz Navidad,274759
Ava Max,Kings & Queens,126958
Post Malone & The Weeknd,One Right Now,252210
Jordan Davis & Luke Bryan,Buy Dirt,56256
