artist,song_name,duration_ms,danceability,energy
Justin Bieber & Quavo,Intentions,294332,0.8778726306276048,0.646678416958973
DaBaby & Roddy Ricch,Rockstar,79321,0.44986873183603204,0.6199581996034693
Morgan Wallen,Sand In My Boots,273418,0.8798960863162634,0.1299151191514758
CJ,Whoopty,14896,0.7015024953831628,0.8285432775180482
Brenda Lee,Rockin' Around The Christmas Tree,99793,0.9937516050128716,0.395286078480931
Drake & Future & Young Thug,Way 2 Sexy,79677,0.63002428775462,0.8408964026850693
Lizzo,About Damn Time,273454,0.13106005601256965,0.0544661338325384
Lil Nas X,Montero (Call Me By Your Name),266473,0.9804505165435968,0.8497354473153058
Trevor Daniel,Falling,284001,0.30930838182778153,0.004373187087783781
Kodak Black,Super Gremlin,99012,0.1273699148643932,0.7040994203160877
Lewis Capaldi,Before You Go,242679,0.37152914025413974,0.8343327210260357
Future & Drake & Tems,WAIT FOR U,204917,0.08665395021453337,0.6648313456383455
Harry Styles,Late Night Talking,299078,0.06645047405244953,0.45624562803322044
Future & Drake & Tems,WAIT FOR U,20203,0.7091801071567906,0.7743780340925722
Steve Lacy,Bad Habit,166662,0.7131615430899481,0.5154922452247316
Morgan Wallen,Last Night,223001,0.08268950827733723,0.3399114869477743
Metro Boomin, The Weeknd & 21 Savage,Creepin',191832,0.7082454194050274,0.48323546011630714
Harry Styles,As It Was,251515,0.34487293659534646,0.3819489323152272
Giveon,Heartbreak Anniversary,21140,0.29185136325963523,0.6245393556942658
Elton John & Dua Lipa,Cold Heart,52411,0.09322193707296678,0.531985075080121
24kGoldn & Iann Dior,Mood,65124,0.5490589036886651,0.6941510014572077
Masked Wolf,Astronaut In The Ocean,118249,0.9558089731215926,0.4988466821328049
Lil Tjay & 6LACK,Calling My Phone,48026,0.40837748571866916,0.24739866245479258
Zach Bryan & Kacey Musgraves,I Remember Everything,65247,0.7259433226953058,0.4667237189431269
Kodak Black,Super Gremlin,100074,0.7236913033296242,0.7151573217061177
Lil Durk & J Cole,All My Life,182226,0.5241853207680368,0.8670193557077812
Morgan Wallen,Wasted On You,110853,0.459158207467912,0.9408951316044789
Em Beihold,Numb Little Bug,185377,0.9923366055240044,0.08453878317684127
Ariana Grande,Positions,291923,0.4326919383898241,0.014859146463998885
Lil Uzi Vert,Just Wanna Rock,298144,0.6233696735567016,0.1572054952891846
Polo G,Rapstar,1832,0.7081636898821111,0.07341776961674007
Billie Eilish,Therefore I Am,113500,0.1499739785896398,0.06484942118980486
Nat King Cole,The Christmas Song (Merry Christmas To You),53403,0.864118787246036,0.6956271873467021
Latto,Big Energy,102739,0.5411199933451152,0.7048186878248848
