artist,track_name,duration_ms,danceability,energy
Pop Smoke & Lil Baby & DaBaby,For The Night,220944,0.6930241747819061,0.1968472274694275
PinkPantheress & Ice Spice,Boy's A Liar,Pt. 2,34323,0.2500256101769942,0.879975922199204
Lil Tjay & 6LACK,Calling My Phone,149198,0.9513918076084651,0.48928891506420147
Post Malone,Chemical,179579,0.8688044246065988,0.9183102059613857
Gabby Barrett & Charlie Puth,I Hope,115189,0.6683458120521947,0.5520144330262907
Beyonce,Cuff It,272053,0.030625003969826037,0.1872028444181889
Powfu & Beabadoobee,Death Bed,240309,0.6880932359970086,0.7861439138515163
Dua Lipa,Break My Heart,271619,0.11498639616378581,0.015451256172598349
Ed Sheeran,Shivers,73809,0.23784597821857634,0.8629407369526734
Drake & Future & Young Thug,Way 2 Sexy,135345,0.22912661232126263,0.5693080478354209
Luke Combs,Fast Car,186329,0.5280994425807398,0.6977272317359536
Jack Harlow,First Class,273751,0.6177094608772971,0.5112583459080643
Lil Nas X,Montero (Call Me By Your Name),62811,0.15938635968814496,0.9023217453563211
Topic & A7S,Breaking Me,27340,0.6341965366879428,0.9955785350715993
Morgan Wallen,Last Night,39559,0.6603010705069533,0.07967616568465452
Maneskin,Beggin',175700,0.46001000787361734,0.7482188558483882
Maroon 5,Memories,28577,0.839913563329222,0.23119902069429665
Rosa Linn,Snap,146187,0.6663755256974926,0.17734132899296062
Nat King Cole,The Christmas Song (Merry Christmas To You),64687,0.9043002508616275,0.3519392815467235
Tate McRae,Greedy,158838,0.8213651342059515,0.7478607017854195
Topic & A7S,Breaking Me,208262,0.8212360197148787,0.17338429450661919
Morgan Wallen,Thought You Should Know,74936,0.1911030802645769,0.4873060747165727
Topic & A7S,Breaking Me,169774,0.7253699186716743,0.30812479714288277
Dua Lipa,Dance The Night,53916,0.007336731022810961,0.3177124956257409
Tom Odell,Another Love,185065,0.5017750960732048,0.005942324779493191
Oliver Tree & Robin Schulz,Miss You,210203,0.24027950389261377,0.004964398960353278
Drake & 21 Savage,Rich Flex,65008,0.19489481123151642,0.8031066147290417
Morgan Wallen,Last Night,274840,0.4684283628679511,0.013809501952841474
Nicki Minaj,Super Freaky Girl,228253,0.012128857719627573,0.1096629931643266
