track_name,ms_played,genres
Intentions,48071
The Way I Are,5601
golden hour,52044
Somebody That I Used To Know,131160
Temperature,71591
I Like You (A Happier Song),240194
Until I Found You,167266
Rockstar,296580
Therefore I Am,103532
It Wasn't Me,280055
Talk Dirty,158040
Lights,85541
Get Busy,146041
Congratulations,22939
Behind These Hazel Eyes,147466
Where Are You Now,269117
Say So,215114
Toosie Slide,236689
Don't Phunk With My Heart,181296
Pon de replay,122043
S&M,215500
Bad Day,87417
Let It Snow! Let It Snow! Let It Snow!,118227
Try Again,260849
Safe And Sound,212051
Thong Song,247729
Nice For What,187902
Doesn't Really Matter,163960
Summer,252315
Maria Maria,156650
Sicko Mode,41311
Gangnam Style,274580
Uptown Funk,182391
Bad Guy,25640
Roller,139920
Boyfriend,72709
The Way You Love Me,276208
A Thousand Miles,286552
Cheap Thrills,259956
What Was I Made For?,182561
What Would You Do?,276280
Promiscuous,12529
Smack That,161145
We Found Love,201977
Rude,77647
Jimmy Cooks,91367
Pepas,176805
Gold Digger,11814
F**k You/Forget You,248499
Beverly Hills,116837
Anti-Hero,217308
Lean Back,104000
Dynamite,282880
I Knew I Loved You,85177
Dynamite,27630
How To Save A Life,12493
My Ex's Best Friend,34772
She Will Be Loved,284146
Unforgettable,95690
Love Yourself,164035
No Tears Left To Cry,58206
It's The Most Wonderful Time Of The Year,178780
You Sang To Me,55886
Someday,200992
Watermelon Sugar,183421
Stand Up,59049
Most Girls,115241
Unholy,105074
Ride,114851
Sweet But Psycho,84585
People,86304
Super Freaky Girl,188838
Be Without You,253328
Starboy,30571
Late Night Talking,39647
Fill Me In,114933
(Hot S**t) Country Grammar,122699
Starships,210737
Lemonade,47505
Bent,105623
One Right Now,291171
Thats What I Want,59904
Love Tonight,279924
All I Want For Christmas Is You,76443
Buy Dirt,191636
Love Tonight,161458
Miss You,40876
Rockstar,219368
Burn,198614
Numb Little Bug,48227
I Try,21044
Don't You Worry Child,5436
Thinking Out Loud,73976
Believer,224755
Cuff It,63628
Best Friend,97480
Someone You Loved,116231
Fallin',295612
Amazed,34729
Drops Of Jupiter (Tell Me),88566
I Know What You Want,150466
Give Me Everything,54622
Thinkin' Bout Me,174784
Whoopty,20317
Sugar,59025
Always On Time,206278
Blank Space,79522
Can't Get You Out Of My Head,284663
One Right Now,258744
Just The Way You Are (Amazing),159022
I Kissed A Girl,21341
In My Feelings,79319
Thinkin' Bout Me,284785
Last Christmas,156246
In My Feelings,238030
"Thank U, Next",66032
Peaches,167608
golden hour,197816
"Me, Myself & I",51266
God's Plan,4733
Santa Tell Me,242387
If You're Gone,109025
Seven Years,38663
Peaches,99235
Bad Habit,131205
One More Night,53751
I Hope,205374
Payphone,53827
Dynamite,117004
My Immortal,242321
Intentions,221316
Super Gremlin,179703
Someone Like You,199743
Get Lucky,143066
My Boo,203236
Love The Way You Lie,6930
You Broke Me First,199648
Riptide,19313
"Bye, Bye, Bye",193418
Pompeii,240703
Trap Queen,200242
Mood,168976
Sweet But Psycho,168131
Escapism,150669
Crazy,235345
It's Been Awhile,125980
When I Was Your Man,205920
I Don't Wanna Know,112850
7 Rings,282760
Kiss Me More,22079
Breaking Me,2451
Thunder,159316
Cupid,200775
Too Close,25599
Toosie Slide,214672
Maria Maria,156504
What A Girl Wants,46721
What Do You Mean?,115202
SexyBack,123411
I'm Good (Blue),213491
Too Close,38274
Where Are You Now,127046
U Got It Bad,270591
Let Me Love You,291863
One More Night,279027
Shake Ya Tailfeather,6429
Breathe,157105
Ride Wit Me,243568
Sad!,175602
Drive,218734
My Universe,187312
"Hey, Brother",183350
The Game Of Love,218187
She Will Be Loved,278793
Kings & Queens,83433
Somebody That I Used To Know,103451
Give It To Me,132749
Can't Stop The Feeling,158083
Angel,274080
I Knew You Were Trouble,189891
Snap,116612
Riptide,284573
Falling,293362
Savage Love (Laxed - Siren Beat),213233
Roxanne,179908
Lift Me Up,288885
Sucker,173729
Last Christmas,216935
Viva la vida,111852
Shake Ya Tailfeather,235579
I Remember Everything,95405
It Feels So Good,82849
Let Me Love You,94675
Safe And Sound,157167
Way 2 Sexy,64274
Holy,11893
Love Don't Cost A Thing,264232
Ridin',151470
Feel It Still,220924
Easy On Me,18023
Confessions Part II,223317
Life Is Good,268728
We Are Young,58582
Dakiti,212046
Wasted On You,191160
There You Go,25853
Laugh Now Cry Later,292764
The Monster,39245
What A Girl Wants,173326
Easy On Me,222143
Castle On The Hill,155747
Beautiful,114816
Waves,43386
Kryptonite,206713
If I Ain't Got You,112475
Amazed,246663
Smooth,252599
Perfect,105717
I'm The One,165748
Royals,61824
God's Plan,111831
You Proof,57155
Cuff It,294114
Industry Baby,150517
Thrift Shop,204990
Burn,273533
Tipsy,110937
Stand Up,197590
Positions,34739
Roses,49699
Lift Me Up,6475
"Boy's A Liar, Pt. 2",108006
Rather Be,91236
My Humps,145886
The Business,276784
Gangnam Style,191506
Without Me,9571
We Belong Together,75603
See You Again,48194
Super Freaky Girl,178635
How To Save A Life,160848
Temperature,176051
Diamonds,229300
I'm The One,83297
Last Christmas,192788
Bump Bump Bump,117938
Mr Brightside,90930
Let Her Go,18615
Cake By The Ocean,107390
Way 2 Sexy,181172
People,2329
Seven Years,82039
Holy,234413
"Hey, Brother",260143
Butter,25775
Apologize,82129
Forever After All,86385
Mr Brightside,207908
Blurry,25908
Holy,116107
WAP,257829
Santa Tell Me,88246
Stay,162379
In My Feelings,214088
Fukumean,223387
abcdefu,88256
Thank God,264134
Incomplete,114641
Can't Hold Us,259844
Burn,28075
Cuff It,284312
"Bye, Bye, Bye",50084
It Feels So Good,68936
I'm Real,127201
Call Me Maybe,81205
Hero,193750
She Had Me At Heads Carolina,103322
Treat You Better,127721
There You Go,14937
Sad!,252495
WAP,102422
Despacito,234579
Cupid,260324
Here Without You,215554
Sugar,169304
Counting Stars,187750
The Bones,282357
"Boy's A Liar, Pt. 2",98786
Sand In My Boots,2982
Death Bed,291505
Without You,84643
Some Nights,7714
About Damn Time,159093
Too Close,10571
Daylight,100088
Senorita,234123
Mr Brightside,274779
Lift Me Up,193152
Lemonade,44777
"Me, Myself & I",49581
California Gurls,285405
Made You Look,277243
Cuff It,269403
Chasing Cars,280122
Someone You Loved,103529
Peaches,43260
One More Night,295354
I Don't Care,30363
Riptide,134998
There's Nothing Holdin' Me Back,56122
Get Busy,236400
Dynamite,70543
Apologize,84849
Jimmy Cooks,150153
Astronaut In The Ocean,51452
Memories,21507
Better Now,167003
My Immortal,229401
Love Me Like You Do,108155
Santa Tell Me,49199
Astronaut In The Ocean,147027
I Knew You Were Trouble,182515
Temperature,20774
Someday,35161
Since U Been Gone,252636
All I Want For Christmas Is You,157771
Beautiful,294415
Drops Of Jupiter (Tell Me),236235
Doesn't Really Matter,46996
Big Girls Don't Cry (Personal),197850
God's Plan,169303
SexyBack,208569
Rockin' Around The Christmas Tree,151966
Stitches,216686
Hey Ya!,232895
Until I Found You,216723
Snap,51929
The Way You Move,120637
Watermelon Sugar,146238
She's All I Wanna Be,151103
"Bye, Bye, Bye",285669
I'm Good (Blue),73649
Kings & Queens,188792
Work From Home,103513
Cake By The Ocean,81355
Don't Let Me Down,280702
All Of Me,271688
Love Don't Cost A Thing,202672
That's What I Like,170442
Shivers,204217
Let Me Love You,180839
I Hope,56064
The Game Of Love,145635
Anti-Hero,58401
Flowers,86623
Vampire,172711
I'm Real,146296
Chemical,50017
It Wasn't Me,284946
WHATS POPPIN,186930
Until I Found You,222817
Unholy,246372
Death Bed,115226
Switch,129597
Stand Up,171289
Lemonade,63336
Hero,124268
Can't Feel My Face,158241
Made You Look,228027
Summer,177620
Paradise,125007
The Christmas Song (Merry Christmas To You),182240
Unholy,128963
Beverly Hills,120357
Work From Home,181205
Closer,255033
My Humps,255853
My Love,121049
Angel,99392
Somebody That I Used To Know,43850
Me porto bonito,264546
Psycho,26639
Ignition,65011
Hanging By A Moment,172862
God's Plan,222004
I'm Good (Blue),94678
Bang Bang,115809
Watermelon Sugar,287447
"Whenever, Wherever",81332
Sucker,183864
Therefore I Am,292405
Bang!,193838
Get The Party Started,24055
F**k it (I Don't Want You Back),132101
This Is What You Came For,87467
Deja Vu,195744
Drop It Like It's Hot,143340
Humble,129289
Baby Boy,193480
Better Now,173739
The Way I Are,210227
Sand In My Boots,224358
Industry Baby,6250
What You Know Bout Love,68730
Leave The Door Open,212735
California Gurls,139539
Chandelier,41148
The Box,269028
Rockstar,143524
Drops Of Jupiter (Tell Me),45378
Doesn't Really Matter,39220
Better Now,262193
Love Lies,145870
No Tears Left To Cry,67166
Rolling In The Deep,2070
F**k You/Forget You,283832
How We Do,115779
Mirrors,290811
Underneath The Tree,2160
Only Time,28391
Bring Me To Life,58321
Radioactive,259611
Stitches,151986
Calling My Phone,165480
Talk Dirty,215789
I Don't Wanna Know,203412
Set Fire To The Rain,80709
Radioactive,276591
Give Me Everything,258462
Glimpse Of Us,26183
I Wanna Know,83894
All I Want For Christmas Is You,71337
Adore You,200468
Dark Horse,267734
One Kiss,274629
You Sang To Me,40430
Thought You Should Know,66371
I Feel It Coming,269481
The Way You Love Me,13363
Someone You Loved,154609
Lean On,267363
Starboy,275078
Traitor,253298
Lean On,12504
Deja Vu,230394
No One,147061
Big Girls Don't Cry (Personal),124156
Kiss Me More,291794
Kryptonite,108186
Havana,57775
Enemy,265573
Unholy,191739
Buttons,128759
Feel Good Inc,272683
Bring Me To Life,79443
The Bones,212325
Give Me Everything,92630
Try Again,223608
Eyes Closed,141587
Rock And A Hard Place,8382
Wellerman,67528
Youngblood,194384
Party Rock Anthem,39777
Do It To It,92144
Better,237324
Hello,15451
Crazy In Love,66448
We Belong Together,264763
Holy,99745
Butterfly,187345
What A Girl Wants,233147
Dip It Low,210619
Good Feeling,279643
First Class,124620
Unforgettable,100485
Super Gremlin,265677
Sail,152927
What A Girl Wants,188320
Say You Won't Let Go,39596
Mirrors,98630
How To Save A Life,299849
Barbie World,254074
Photograph,22900
Leave The Door Open,147190
It Ain't Me,151898
Stutter,258037
My Boo,186590
When I Was Your Man,293937
F**k You/Forget You,137568
We Don't Talk About Bruno,44214
What Was I Made For?,137162
Sorry,113746
Bent,60608
Good 4 U,286634
Work,236004
Without Me,139019
Wellerman,88739
Watermelon Sugar,162483
My Oh My,115950
Mr Brightside,227755
Yeah!,87848
Bleeding Love,263844
Jimmy Cooks,89199
That's What I Like,273957
Best Friend,179457
Call Me Maybe,241019
Ho Hey,207239
Someone Like You,287343
Up,278982
Beautiful,64764
It Wasn't Me,164365
Follow Me,50063
Whistle,152875
Don't Let Me Down,11993
Butterfly,211662
Payphone,216464
Low,226148
Shivers,11469
Want To Want Me,201693
Cheap Thrills,104620
I Hope,276001
I'm Good (Blue),54349
Don't Start Now,299150
Snap,254389
Let Me Love You,180480
Titanium,141468
The Hills,147658
Umbrella,28446
No One,277599
Bad Habit,134047
Candy Shop,50623
Get Low,287382
Higher,16269
Don't Stop The Music,24402
Hot 'n' cold,98906
Paradise,47783
Don't Phunk With My Heart,206368
Favorite Song,142362
Before You Go,61735
Somebody That I Used To Know,129197
Confessions Part II,159407
Dancing With A Stranger,233452
It Feels So Good,291987
Hotline Bling,227372
Chemical,42148
Too Close,209571
Sicko Mode,269226
Beggin',185292
Pumped Up Kicks,43199
Confessions Part II,159834
Better Now,186726
Escapism,247549
Follow Me,22367
Dilemma,23582
When I'm Gone,125627
Psycho,98191
Music,294109
Blank Space,127035
One Right Now,180719
Hey Ya!,165262
Whoopty,142053
Knife Talk,37347
Shivers,298045
Am I Wrong,83072
Shake Ya Tailfeather,20390
Love Nwantiti,166906
Eyes Closed,258920
Drops Of Jupiter (Tell Me),20477
Astronaut In The Ocean,260125
Vegas,288422
Bad Romance,73090
Photograph,30178
Foolish,169704
Smooth,179390
Rapstar,101802
Crank That (Soulja Boy),49863
Daylight,106006
Sure Thing,56308
Get Busy,236914
Falling,265529
Need A Favor,35282
Circles,270318
High Hopes,43740
Gangnam Style,296616
Hot In Herre,155689
Hot 'n' cold,252915
Only Girl (In The World),80233
For The Night,295691
Boyfriend,69798
Ms Jackson,6983
Don't Let Me Down,101896
Better,159007
Sugar We're Goin Down,4368
Up,68953
Stitches,159118
Cold Heart,123694
Stand Up,236644
Girls Like You,100023
Umbrella,234161
Rockstar,235080
Running Up That Hill (A Deal With God),285845
People,235813
Ghost,278114
Whistle,62863
Be Without You,217230
The Hills,159294
Bang!,96730
Thong Song,252007
Lean Back,158934
I Knew You Were Trouble,162929
Family Affair,189888
Sucker,32639
Despacito,201729
High Hopes,224478
Shallow,12765
Candy Shop,216679
Love Yourself,209948
Higher,146282
Hero,244697
This Love,114952
Underneath The Tree,209949
Heartbreak Anniversary,129545
"Bye, Bye, Bye",82808
I Kissed A Girl,211005
One More Night,114828
Without Me,153122
The Game Of Love,240320
Cupid,228103
Shivers,11149
Breathe,191590
Stand Up,166732
Good 4 U,67484
Dark Horse,152528
Roses (Imanbek Remix),89075
Work From Home,171235
We Are Young,75103
Habits (Stay High),248552
Let It Snow! Let It Snow! Let It Snow!,196729
Born This Way,11229
Let Me Blow Ya Mind,61738
Lose Yourself,297330
Chasing Cars,31728
Cake By The Ocean,178627
Rain On Me,27668
Tik-Toc,116390
All My Life,23643
Without You,47410
Goodies,104300
Industry Baby,270262
Safe And Sound,75502
Scream & Shout,112848
Someday,14367
So What,258423
SexyBack,34772
Wrecking Ball,264518
Numb,229698
I'm Not The Only One,293977
Am I Wrong,284404
Peaches,74482
What A Girl Wants,135199
Montero (Call Me By Your Name),98672
Fukumean,279383
Up,177776
I Feel It Coming,224308
Break My Soul,44897
The Bones,141220
